Nom,Description,Prix,Référence,Main,Kilométrage,Catégorie,1ère Immat.,Puissance Fiscale,Moteur,Carburant,Consommation,Transmission,URL
BMW Série 5,520i,"68,000 DT",1888,2eme main,172 000 Km,Berline,Juillet 2014,10 cv,184 cv,Essence,"6,1 L/100 Km",Automatique,https://www.sparkauto.tn/listing-detail/138/BMWS%C3%A9rie5
Peugeot 3008,1.2 Puretech,"69,000 DT",1794,1ere main,93 000 Km,SUV,Novembre 2020,7 cv,130 cv,Essence,4.5 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/136/Peugeot3008
Volkswagen Passat,1.4 l R-line,"87,000 DT",1774,1ere main,101 000 Km,Berline,Octobre 2019,8 cv,150 cv,Essence,5.4 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/134/VolkswagenPassat
Kia Picanto,1.2 Gt Line,"36,500 DT",1702,1ère main,151 000 Km,Citadine,Mai 2018,4 cv,67 cv,Essence,4.9 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/129/KiaPicanto
Audi A3,1.4 l TFSI,"104,000 DT",1667,1ere main,56 000 Km,Berline,Juillet 2022,8 cv,150 cv,Essence,4.6 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/127/AudiA3
Fiat Punto,1.2 l,"28,000 DT",1666,1ere main,91 000 Km,Compact,Avril 2016,4 cv,69 cv,Essence,5.4 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/126/FiatPunto
Kia Rio,1.2 l,"57,000 DT",1633,1ere main,40 500 Km,Compact,Juillet 2020,5 cv,84 cv,Essence,5.4 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/123/KiaRio
Seat Tarraco,1.4 l TSI,"107,000 DT",1480,1ere main,96 000 Km,SUV,Aout 2021,9 cv,150 cv,Essence,6.7L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/121/SeatTarraco
Citroën C3,1.2 Puretech,"34,500 DT",1342,1ere main,67 000 Km,Compact,Octobre 2017,4 cv,82 cv,Essence,4.3 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/113/CitroenC3
Hyundai Tucson,1.6 l HTRACK,"125,000 DT",1301,1ere main,11 500 Km,SUV,Mai 2023,10 cv,180 ch,Essence,6.3L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/108/HyundaiTucson
Audi Q7,45 TFSI Quattro S-Line,"285,000 DT",1250,1ere main,73 500 Km,SUV,Juin 2021,16 cv,252 ch,Essence,6 L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/105/AudiQ7
Renault Megane,1.2 l,"58,000 DT",1237,1ere main,50 000 Km,Berline,Avril 2021,7 cv,130 cv,Essence,5.4 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/104/RenaultMegane
BMW Série 1,118i,"78,000 DT",345,2ème main,75 000 Km,Compact,Octobre 2019,7 cv,136 cv,Essence,5.1 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/82/BmwSerie1
Peugeot 308,1.2 Puretech,"43,500 DT",777,1ère main,74 500 Km,Compact,Novembre 2016,5 cv,110 cv,Essence,4 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/81/Peugeot308
