Nom,Description,Prix,Référence,Main,Kilométrage,Catégorie,1ère Immat.,Puissance Fiscale,Moteur,Carburant,Consommation,Transmission,URL
Mercedes CLA 180,AMG LINE,"145,000 DT",6208,1 ere Main,3 200 Km,Berline,Septembre 2021,7 CV,136 CV,Essence,5.9L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/344/MercedesCLA180
MG ZS,1.5 l,"67,500 DT",5900,1ere main,58 000 Km,SUV,Mai 2022,7 cv,114 cv,Essence,6.9L/100 KM,Manuelle,https://www.sparkauto.tn/listing-detail/343/MGZS
Kia Seltos,1.4,"84,500 DT",5947,1ere main,83 000 Km,SUV,Mai 2021,8 cv,140 cv,Essence,6.4L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/342/KiaSeltos
Peugeot 308 GT,1.2 l,"119,000 DT",5772,1ere main,18 000 Km,Compact,Septembre 2024,7 cv,130 cv,Hybride,5.0 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/341/Peugeot308GT
BMW Série 4 Gran Coupé Pack M,1.5 l,"107,000 DT",6214,1ere main,132 000 Km,Berline,Juin 2020,7 cv,136 cv,Essence,6.2L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/340/BMWS%C3%A9rie4GranCoup%C3%A9PackM
Kia Picanto,1.2L,"39,500 DT",6186,1 ere Main,73 000 Km,Citadine,Septembre 2020,4 CV,67 CV,Essence,4.4 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/339/KiaPicanto
Mercedes Classe C 180,180 CGI AVANTGRADE,"97,500 DT",6093,N/A,148 000 Km,Berline,Septembre 2018,8 CV,156 CV,Essence,5.0 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/338/MercedesClasseC180
Peugeot 208,1.2L,"32,000 DT",6038,1 ere Main,96 000 Km,Citadine,Janvier 2020,4 CV,75 CV,Essence,4.9 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/337/Peugeot208
Suzuki Ciaz,1.5L GLX,"55,000 DT",5839,1 ere Main,52 500 Km,Berline,Février 2023,6 CV,105 CV,Essence,5.7 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/336/SuzukiCiaz
Toyota Rav 4 hybride,2.5 l,"139,500 DT",5008,1ere main,58 900 Km,SUV,Mars 2023,Ariana,222 ch,Hybride,5 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/335/ToyotaRav4hybride
