Nom,Description,Prix,Référence,Main,Kilométrage,Catégorie,1ère Immat.,Puissance Fiscale,Moteur,Carburant,Consommation,Transmission,URL
Porsche Macan Electrique,électrique,"289,500 DT",44,1ere main,9 000 Km,SUV,Décembre 2024,9 CV,360 cv,Electriques,17 kWh/100 km,Automatique,https://www.sparkauto.tn/listing-detail/289/PorscheMacanElectric11
Skoda Scala,1.0 l,"73,000 DT",4942,1ere main,48 000 Km,Compact,Février 2024,6,112 cv,Essence,5.4 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/287/SkodaScala
Land Rover Discovery Sport,2.0L,"265,000 DT",4733,1 ere Main,52 000 Km,SUV,Juillet 2021,9 CV,163 CV,Diesel,5.0 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/286/LandRoverDiscoverySport
Toyota Rav 4,2.5 l,"147,000 DT",4791,1ere main,30 000 Km,SUV,Janvier 2024,9 cv,222 ch,Hybride,5.1 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/285/ToyotaRav4hybride
Ford Focus,1.0 lEcoBoost,"39,500 DT",4724,1ere main,101 000 Km,Compact,Novembre 2017,7 cv,125 cv,Essence,6.3L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/284/FordFocus11
Audi A1 Sportback,1.0L,"83,000 DT",4739,1 ere Main,35 000 Km,Compact,Juin 2024,6 CV,110 CV,Essence,5.5 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/282/AudiA1Sportback
Chery Tiggo 2,1.5L,"42,000 DT",4722,2 eme main,88 000 Km,SUV,Janvier 2020,6 CV,106 CV,Essence,6.0 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/281/CheryTiggo2
Jeep renegade,1.3 l,"81,000 DT",4490,1ere main,85 000 Km,SUV,Octobre 2021,Ariana,150 cv,Essence,6.7 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/280/Jeeprenegade
Porsche Macan,2 l,"215,000 DT",4746,1ere main,100 000 Km,SUV,Juin 2020,16 cv,245 cv,Essence,8.1 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/279/PorscheMacan
Mercedes Classe A 200,1.4 l,"79,000 DT",4558,1ere main,122 000 Km,Compact,Octobre 2018,9 cv,163 cv,Essence,6.9L/100 KM,Manuelle,https://www.sparkauto.tn/listing-detail/278/MercedesClasseA200
BMW Série 3 318i,318i 1.5L,"67,000 DT",4588,2ème main,157 000 Km,Berline,Février 2016,7 cv,136 cv,Essence,5.4 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/277/BMWS%C3%A9rie313
Audi A5 S-line,1.4,"123,000 DT",4581,1ere main,158 000 Km,Berline,Juin 2020,8 cv,150 cv,Essence,6.1 L/100 km,Automatique,https://www.sparkauto.tn/listing-detail/276/AudiA5S-line11
Mercedes Classe E 180,CGI AVANTAGRADE,"118,000 DT",4630,1 ere Main,88 000 Km,Berline,Mai 2017,9 CV,156 CV,Essence,8.5 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/275/MercedesClasseE180
Kia sportage,1.6 l,"77,000 DT",4622,1ere main,113 000 Km,SUV,Juin 2021,8 cv,132 cv,Essence,7.5 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/272/Kiasportage1
Geely GX3,1.5L CVT,"45,000 DT",4469,1 ere Main,97 000 Km,SUV,Octobre 2021,6 CV,103 CV,Essence,6.5 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/267/GeelyGX3
Peugeot 301,1.2L,"38,000 DT",4520,1 ere Main,19 500 Km,Berline,Avril 2022,5 CV,82 CV,Essence,4.8 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/266/Peugeot301
Mazda 6,2.0L,"48,000 DT",4527,1 ere Main,157 000 Km,Berline,Aout 2015,9 CV,165 CV,Essence,6.0 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/265/Mazda6
Ssangyoung Tivoli,1.6L,"52,000 DT",4316,1 ere Main,59 000 Km,SUV,Avril 2018,7 CV,128 CV,Essence,5.4 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/260/SsangyoungTivoli
Peugeot 208,1.2 Puretech,"30,000 DT",4118,1ere main,115 000 Km,Compact,Septembre 2019,4 cv,75 cv,Essence,4.9 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/259/Peugeot208
Skoda Scala,1.6 l,"59,000 DT",4190,1ere main,86 000 Km,Berline,Décembre 2020,6 cv,116 cv,Essence,5.1 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/257/SkodaScala
Fiat Tipo,1.4 l,"38,500 DT",4157,1ere main,39 000 Km,Compact,Novembre 2018,5 cv,95 cv,Essence,6.0 L/100 km,Manuelle,https://www.sparkauto.tn/listing-detail/256/Fiattipo
Mercedes Classe A,1.4,"109,500 DT",4038,1ere main,37 500 Km,Berline,Octobre 2021,7 cv,136 cv,Essence,7.1 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/255/MercedesClasseA
Ssangyong Tivoli,1.6 l,"56,000 DT",4125,1ere main,61 000 Km,SUV,Janvier 2018,8 cv,128 cv,Essence,7.2 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/254/SsangyongTivoli
Chery Tiggo 3X,1.0 l,"52,000 DT",3792,1ere main,68 000 Km,SUV,13/06/2022,6 cv,102 cv,Essence,5.9 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/249/CheryTiggo3X
Peugeot 208,1.2L,"33,500 DT",3952,1 ere Main,75 000 Km,Citadine,Septembre 2018,5 CV,82 CV,Essence,4.5 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/248/Peugeot208
Mercedes Classe A,AMG LINE,"115,000 DT",3242,1 ere Main,86 000 Km,Compact,Mars 2019,6 CV,116 CV,Diesel,3.8 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/244/MercedesClasseA
Suzuki Vitara,1.6 l,"64,500 DT",3652,2ème main,93 000 Km,SUV,Novembre 2017,6 cv,120 cv,Essence,5.9 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/243/suzukiVitara
Mercedes Classe E 200 Coupe,1.8L,"91,500 DT",3408,1 ere Main,112 000 Km,Coupé,Novembre 2014,10 CV,184 CV,Essence,6.1 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/242/MercedesClasseE200Coupe
Dongfeng S50,1.5 l,"39,500 DT",3493,2ème main,24 000 Km,Berline,Septembre 2019,6 cv,120 cv,Essence,6.3L/100KM,Manuelle,https://www.sparkauto.tn/listing-detail/237/DongfengS50
BMW X5,3 l,"55,000 DT",45,1ere main,183 000 Km,SUV,Juillet 2007,19 cv,272 cv,Essence,10.3L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/232/BMWX5
Seat Arona,1.0L,"68,000 DT",3203,1 ere Main,39 000 Km,SUV,Janvier 2022,6 CV,110 CV,Essence,5.4 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/222/SeatArona
Ford Kuga,1.5l Ecoboost,"56,500 DT",3184,1ere main,127 000 Km,SUV,Septembre 2017,8 cv,120 cv,Essence,7.1 L/100 KM,Manuelle,https://www.sparkauto.tn/listing-detail/220/FordKuga
BMW Série 4 Gran Coupé,Finition luxury,"74,000 DT",3194,1ere main,132 500 Km,Berline,Aout 2017,7 cv,136,Essence,6.2L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/218/BMWS%C3%A9rie4GranCoup%C3%A9
Peugeot 208,1.2 Puretech,"35,500 DT",2954,1ere main,38 500 Km,Compact,Novembre 2020,4 cv,75 cv,Essence,4.9 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/204/Peugeot208
Fiat 500,1.2 l,"38,500 DT",2825,2ème main,112 000 Km,Compact,Janvier 2018,4 cv,69 cv,Essence,5.4 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/199/Fiat500
Hyundai I30 1.0T,1.0 l,"72,000 DT",2859,1ere main,102 000 Km,Citadine,Novembre 2021,7 cv,120 cv,Essence,7.5 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/198/HyundaiI301.0T
Peugeot 2008,1.2 l,"40,000 DT",2684,1ere main,142 500 Km,SUV,Aout 2016,6 cv,110 cv,Essence,4.8 L/100 KM,Manuelle,https://www.sparkauto.tn/listing-detail/196/Peugeot2008
Audi TT,2 l,"235,000 DT",2753,1ere main,42 000 Km,Coupé,Juin 2022,15 cv,245 cv,Essence,7.2 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/192/AudiTT
Opel Combo Cargo,1.6 l,"59,000 DT",2594,1ere main,750 Km,Autres,Janvier 2025,5 cv,92 cv,Diesel,4.8 L/100 km,Manuelle,https://www.sparkauto.tn/listing-detail/190/OpelComboCargo
Honda CR-V,1.5 l,"99,000 DT",2461,1ere main,110 000 Km,SUV,Décembre 2021,11 cv,193 cv,Essence,7.1 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/181/HondaCR-V
Honda Civic,1.5 l,"69,000 DT",2124,1ere main,159 000 Km,Berline,Mars 2020,10 cv,182 cv,Essence,6.1 L/100 km,Automatique,https://www.sparkauto.tn/listing-detail/177/HondaCivic
Mercedes CLA 250e,Finition AMG,"162,000 DT",2287,Hybride Rechargeable,49 000 Km,Berline,Novembre 2021,8 cv,218 cv,Hybride,0.9 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/162/MercedesCLA250e
Ford Mustang,2.3l,"160,000 DT",2228,1ere main,57 000 Km,Cabriolet,Juillet 2017,21 cv,317cv,Essence,8 L/100 Km,Automatique,https://www.sparkauto.tn/listing-detail/159/FordMustang
MG ZS,1.5 l,"73,500 DT",2214,1ere main,41 000 Km,SUV,Mai 2022,7 cv,114 cv,Essence,7.8 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/158/MGZS
Ford EcoSport,1.0 lEcoBoost,"62,000 DT",2047,1ere main,96 000 Km,SUV,Février 2021,7 cv,125 cv,Essence,5.1 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/146/FordEcoSport
Audi A3,1.2 l,"57,000 DT",2044,1ere main,154 000 Km,Compact,Décembre 2016,6 cv,110 cv,Essence,5 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/145/AudiA3
Kia sportage,1.6 l,"95,000 DT",1352,1ere main,61 000 Km,SUV,Avril 2021,8 cv,132 cv,Essence,7.5 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/116/Kiasportage
Mercedes Classe A,A 250e Kit AMG,"114,000 DT",1465,1ere main,35 500 Km,Compact,Mars 2021,8 cv,218 cv,Hybride,1.5L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/114/MercedesClasseA
Land Rover Range Rover,5.0 L SC Vogue V8,"350,000 DT",1296,2eme main,52 000 Km,SUV,Novembre 2017,43 cv,510 cv,Essence,12.8 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/106/LANDROVERRANGEROVER
Chery Tiggo 8,1.5 l,"88,500 DT",1103,1ere main,49 500 Km,SUV,Janvier 2022,9 cv,154 cv,Essence,7.5 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/100/CheryTiggo8
BMW X2,1.5 l,"132,000 DT",1153,1ere main,38 000 Km,SUV,Novembre 2018,7 cv,140 cv,Essence,5.4 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/92/BMWX2
MG HS,1.5 l,"77,500 DT",1107,1ere main,78 000 Km,SUV,Janvier 2021,10 cv,162 cv,Essence,7.9 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/88/MGHS
Volkswagen Golf 7,1.0 l TSI,"62,500 DT",182,2ème main,98 500 Km,Compact,Octobre 2017,5 cv,110 cv,Essence,4.8 L/100 KM,Manuelle,https://www.sparkauto.tn/listing-detail/84/VolkswagenGolf7
Mercedes Classe C,180 Pack Sport AMG,"197,000 DT",832,1ère main,46 000 Km,Berline,Fevrier 2022,9 cv,193 cv,Essence,6.2 L/100 km,Automatique,https://www.sparkauto.tn/listing-detail/72/MercedesClasseC
Honda HR-V,1.5L CVT,"97,000 DT",6084,1 ere Main,7 300 Km,SUV,Mai 2025,7 CV,119 CV,Essence,6.1 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/332/HondaHR-V
Honda City,1.5L CVT,"48,000 DT",5482,1 ere Main,108 000 Km,Berline,Aout 2020,7 CV,120 CV,Essence,5.7 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/310/HondaCity
Peugeot 208,1.2L,"24,000 DT",5194,1 ere Main,172 000 Km,Compact,Février 2015,5 CV,82 CV,Essence,4.8 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/297/Peugeot208
Hyundai Grand i10,1.2L,"36,000 DT",4932,1 ere Main,112 000 Km,Compact,Mars 2020,5 CV,84 CV,Essence,4.9 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/290/HyundaiGrandi10
Peugeot 3008,1.6L GT Line,"85,000 DT",4797,1 ere Main,81 000 Km,SUV,Septembre 2021,9 CV,180 CV,Essence,6.7 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/283/Peugeot3008
